name,orig_n,orig_m,trial,strategy,frac,gen_n,gen_m,degree_js,pagerank_js
karate,34,78,44,random,-10,31,65,0.12429310127559741,0.7848655291484503
karate,34,78,45,random,-10,34,67,0.2029211566709259,0.6062537420813142
karate,34,78,46,random,-10,34,70,0.1407994772836877,0.6437614222737927
karate,34,78,47,random,-10,34,67,0.13439417516908442,0.5300291970765968
karate,34,78,48,random,-10,34,68,0.22984639317358108,0.6138827437139541
karate,34,78,49,random,-10,32,62,0.5179758231073698,0.8903796268811852
karate,34,78,50,random,-10,33,72,0.19308851057372,0.6919652622578774
karate,34,78,1,iso,110,34,78,0.0,0.0
karate,34,78,2,iso,110,34,78,0.0,0.0
karate,34,78,3,iso,110,34,78,0.0,0.0
karate,34,78,4,iso,110,34,78,0.0,0.0
karate,34,78,5,iso,110,34,78,0.0,0.0
karate,34,78,6,iso,110,34,78,0.0,0.0
karate,34,78,7,iso,110,34,78,0.0,0.0
karate,34,78,8,iso,110,34,78,0.0,0.0
karate,34,78,9,iso,110,34,78,0.0,0.0
karate,34,78,10,iso,110,34,78,0.0,0.0
karate,34,78,11,iso,110,34,78,0.0,0.0
karate,34,78,12,iso,110,34,78,0.0,0.0
karate,34,78,13,iso,110,34,78,0.0,0.0
karate,34,78,14,iso,110,34,78,0.0,0.0
karate,34,78,15,iso,110,34,78,0.0,0.0
karate,34,78,16,iso,110,34,78,0.0,0.0
karate,34,78,17,iso,110,34,78,0.0,0.0
karate,34,78,18,iso,110,34,78,0.0,0.0
karate,34,78,19,iso,110,34,78,0.0,0.0
karate,34,78,20,iso,110,34,78,0.0,0.0
karate,34,78,21,iso,110,34,78,0.0,0.0
karate,34,78,22,iso,110,34,78,0.0,0.0
karate,34,78,23,iso,110,34,78,0.0,0.0
karate,34,78,24,iso,110,34,78,0.0,0.0
karate,34,78,25,iso,110,34,78,0.0,0.0
karate,34,78,26,iso,110,34,78,0.0,0.0
karate,34,78,27,iso,110,34,78,0.0,0.0
karate,34,78,28,iso,110,34,78,0.0,0.0
karate,34,78,29,iso,110,34,78,0.0,0.0
karate,34,78,30,iso,110,34,78,0.0,0.0
