,name,orig_n,orig_m,attr_name,model,mu,clustering,cost,branch_factor,height,graph_dl,num_rules,unique_rules,grammar_dl
20,karate,34,78,club,VRG-mu-random,8,consensus,908,2.5714285714285716,5,3015.3728650601124,6,6,1195.5692459226682
21,karate,34,78,club,VRG-all-tnodes,3,consensus,908,2.5714285714285716,5,3015.3728650601124,21,20,1098.8148226802832
22,karate,34,78,club,VRG-mu-random,3,consensus,908,2.5714285714285716,5,3015.3728650601124,8,7,3004.316440553192
23,karate,34,78,club,AVRG-all-tnodes,3,consensus,908,2.5714285714285716,5,3015.3728650601124,21,17,1101.0664148106787
24,karate,34,78,club,VRG-mu-random,6,cond,1007,2.0,10,3015.3728650601124,8,8,1208.9737601392271
25,karate,34,78,club,VRG-mu-random,7,cond,1007,2.0,10,3015.3728650601124,8,8,1187.2517381576217
26,karate,34,78,club,AVRG-mu-random,6,cond,1007,2.0,10,3015.3728650601124,8,8,1422.9118108421403
27,karate,34,78,club,VRG-mu-random,5,cond,1007,2.0,10,3015.3728650601124,9,9,1143.7795889929923
28,karate,34,78,club,VRG-mu-random,5,spectral,1131,2.375,5,3015.3728650601124,10,10,1338.8250077200876
29,karate,34,78,club,VRG-mu-random,4,cond,1007,2.0,10,3015.3728650601124,12,12,1129.083191853293
30,karate,34,78,club,AVRG-mu-random,5,cond,1007,2.0,10,3015.3728650601124,9,9,1331.3037899432618
31,karate,34,78,club,AVRG-mu-random,7,cond,1007,2.0,10,3015.3728650601124,8,8,1406.5799236819253
32,karate,34,78,club,AVRG-mu-random,4,cond,1007,2.0,10,3015.3728650601124,12,12,1295.3271292265774
33,karate,34,78,club,VRG-mu-random,4,spectral,1131,2.375,5,3015.3728650601124,12,12,1336.430797480017
34,karate,34,78,club,VRG-mu-random,6,spectral,1131,2.375,5,3015.3728650601124,9,9,1101.6737619207424
35,karate,34,78,club,VRG-mu-random,7,spectral,1131,2.375,5,3015.3728650601124,7,7,1073.8113825186056
36,karate,34,78,club,AVRG-mu-random,7,spectral,1131,2.375,5,3015.3728650601124,7,7,1343.4053823342033
37,karate,34,78,club,VRG-mu-random,6,leiden,1724,2.8333333333333335,4,3015.3728650601124,7,7,1430.4290231321884
38,karate,34,78,club,AVRG-mu-random,6,spectral,1131,2.375,5,3015.3728650601124,9,9,1351.047149921457
39,karate,34,78,club,AVRG-mu-random,5,spectral,1131,2.375,5,3015.3728650601124,10,10,1572.8288723108437
40,karate,34,78,club,VRG-mu-random,4,leiden,1724,2.8333333333333335,4,3015.3728650601124,9,9,1701.9711893668482
41,karate,34,78,club,VRG-mu-random,5,leiden,1724,2.8333333333333335,4,3015.3728650601124,9,9,1557.9316681514729
42,karate,34,78,club,AVRG-mu-random,4,spectral,1131,2.375,5,3015.3728650601124,12,12,1526.1079337676274
43,karate,34,78,club,VRG-mu-random,7,leiden,1724,2.8333333333333335,4,3015.3728650601124,7,7,1056.5754544022877
44,karate,34,78,club,AVRG-mu-random,6,leiden,1724,2.8333333333333335,4,3015.3728650601124,7,7,1781.7297874128549
45,karate,34,78,club,AVRG-mu-random,7,leiden,1724,2.8333333333333335,4,3015.3728650601124,7,7,1394.741544570429
46,karate,34,78,club,AVRG-mu-random,5,leiden,1724,2.8333333333333335,4,3015.3728650601124,9,9,1856.0728497426353
47,karate,34,78,club,AVRG-mu-random,4,leiden,1724,2.8333333333333335,4,3015.3728650601124,9,9,2047.9611985224697
